år,navn,platform,Platform/OS version,udvikler,udgiver,Spilllets url,Udviklers URL,omtale URL,Anmeldelse URL,Screenshot,Video,Metascore,Genre,Noter,Cover,i beholdning,unikke titler,Fysisk medie,Online,Mobil(portal),Konsolportal + steam,Sorteringsår,Har på lokal maskine (server),I Netarkivet,Netarkivet URL - til spil eller landing page,Netarkivering - noter,Har Rex-post,Itunes Info,Games Preingest - Placering (OBS: inkomplet registrering),Alternative titler,Kolonne1,Kolonne2,Kolonne3,Kolonne4,Kolonne5,Kolonne6,Kolonne7,Kolonne8,Kolonne9,Kolonne10,Kolonne11,Kolonne12,Kolonne13,Kolonne14,Kolonne15,Kolonne16,Kolonne17,Kolonne18,Kolonne19,Kolonne20,Kolonne21,Kolonne22,Kolonne23,Kolonne24,Kolonne25,Kolonne26,Kolonne27,Kolonne28,Kolonne29,Kolonne30,Kolonne31,Kolonne32,Kolonne33,Kolonne34,Kolonne35,Kolonne36,Kolonne37,Kolonne38,Kolonne39,Kolonne40,Kolonne41,Kolonne42,Kolonne43,Kolonne44,Kolonne45,Kolonne46,Kolonne47,Kolonne48,Kolonne49,Kolonne50,Kolonne51,Kolonne52,Kolonne53,Kolonne54,Kolonne55,Kolonne56,Kolonne57,Kolonne58,Kolonne59,Kolonne60,Kolonne61,Kolonne62,Kolonne63,Kolonne64,Kolonne65,Kolonne66,Kolonne67,Kolonne68,Kolonne69,Kolonne70,Kolonne71,Kolonne72,Kolonne73,Kolonne74,Kolonne75,Kolonne76,Kolonne77,Kolonne78,Kolonne79,Kolonne80,Kolonne81,Kolonne82,Kolonne83,Kolonne84,Kolonne85,Kolonne86,Kolonne87,Kolonne88,Kolonne89,Kolonne90,Kolonne91,Kolonne92,Kolonne93,Kolonne94,Kolonne95,Kolonne96,Kolonne97,Kolonne98,Kolonne99,Kolonne100,Kolonne101,Kolonne102,Kolonne103,Kolonne104,Kolonne105,Kolonne106,Kolonne107,Kolonne108,Kolonne109,Kolonne110,Kolonne111,Kolonne112,Kolonne113,Kolonne114,Kolonne115,Kolonne116,Kolonne117,Kolonne118,Kolonne119,Kolonne120,Kolonne121,Kolonne122,Kolonne123,Kolonne124,Kolonne125,Kolonne126,Kolonne127,Kolonne128,Kolonne129,Kolonne130,Kolonne131,Kolonne132,Kolonne133,Kolonne134,Kolonne135,Kolonne136,Kolonne137,Kolonne138,Kolonne139,Kolonne140,Kolonne141,Kolonne142,Kolonne143,Kolonne144,Kolonne145,Kolonne146,Kolonne147,Kolonne148,Kolonne149,Kolonne150,Kolonne151,Kolonne152,Kolonne153,Kolonne154,Kolonne155,Kolonne156,Kolonne157,Kolonne158,Kolonne159,Kolonne160,Kolonne161,Kolonne162,Kolonne163,Kolonne164,Kolonne165,Kolonne166,Kolonne167,Kolonne168,Kolonne169,Kolonne170,Kolonne171,Kolonne172,Kolonne173,Kolonne174,Kolonne175,Kolonne176,Kolonne177,Kolonne178,Kolonne179,Kolonne180,Kolonne181,Kolonne182,Kolonne183,Kolonne184,Kolonne185,Kolonne186,Kolonne187,Kolonne188,Kolonne189,Kolonne190,Kolonne191,Kolonne192,Kolonne193,Kolonne194,Kolonne195,Kolonne196,Kolonne197,Kolonne198,Kolonne199,Kolonne200,Kolonne201,Kolonne202,Kolonne203,Kolonne204,Kolonne205,Kolonne206,Kolonne207,Kolonne208,Kolonne209,Kolonne210,Kolonne211,Kolonne212,Kolonne213,Kolonne214,Kolonne215,Kolonne216,Kolonne217,Kolonne218,Kolonne219,Kolonne220,Kolonne221,Kolonne222,Kolonne223,Kolonne224,Kolonne225
20??,Java - Weapons of War,Web (Java),,Rune Holm (Blasting Pixels),,http://blastingpixels.com/Projects/JavaWeaponsOfWar/JWOW.jar,http://blastingpixels.com,,,,,,,,,1,1,0,1,0,0,1899/12/31,0,1,http://blastingpixels.com/Projects/JavaWeaponsOfWar/JWOW.jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Farmors Baghave,PC + særligt udstyr,,Kajakklubben,Kajakklubben,http://kajakklubben.org/farmors.html,http://kajakklubben.org/,,,,http://vimeo.com/couchmode/user11574751/videos/sort:date/41557764,,,,,0,1,0,0,0,0,1899/12/31,0,0,"Hmmm. Ved ikke, hvor man kan spille det..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,4 in-a-row,Web ,,Certus games,,http://certusgames.com/game.php?game=0,,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/game.php?game=0,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Asteroids,Web ,,Certus games,,http://certusgames.com/solo/game.php?game=4,,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/solo/game.php?game=4,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Backgammon,Web ,,Certus games,,http://certusgames.com/game.php?game=160,,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/game.php?game=160,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Battle Ocean,Web ,,Certus games,,http://certusgames.com/game.php?game=140,,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/game.php?game=140,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Blockwar,Web ,,Certus games,,http://certusgames.com/game.php?game=270,http://certusgames.com/index.php,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/game.php?game=270,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Breakout,Web ,,Certus games,,http://certusgames.com/solo/game.php?game=1,,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/solo/game.php?game=1,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Canasta,Web ,,Certus games,,http://certusgames.com/game.php?game=420,,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/game.php?game=420,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20??,Casino,Web ,,Certus games,,http://certusgames.com/game.php?game=90,,,,,,,,,,0,1,0,1,0,0,1899/12/31,0,0,http://certusgames.com/game.php?game=90,kræver login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
